This file is created using RaceChrono v1.47 ( http://www.racechrono.com/ ).

Session title,PI 250416 S4
Session type,Lap timing
Track name,PhillipIsland
Driver name,
Export scope,All laps
Created,01/06/2008,06:22
Note,

Lap #,Timestamp (s),Distance (m),Distance (km),Locked satellites,Latitude (deg),Longitude (deg),Speed (m/s),Speed (kph),Speed (mph),Altitude (m),Bearing (deg),Longitudinal Acceleration (G),Lateral Acceleration (G),X-position (m),Y-position (m),RPM (rpm),Throttle Position (%),Trap name
1,13384.682,61.880,0.061880,11,-38.5021305,145.2320247,5.59,20.12,12.50,50.09,157.28,0.00,0.00,0.00,0.00,0.00,0.00,Start/finish
1,13384.700,61.991,0.061991,11,-38.5021317,145.2320250,5.59,20.11,12.50,50.09,157.23,-0.01,0.03,0.03,-0.13,0.00,0.00,
1,13384.800,62.621,0.062621,11,-38.5021367,145.2320283,5.43,19.56,12.15,50.09,156.67,-0.16,0.05,0.32,-0.69,0.00,0.00,
1,13384.900,63.029,0.063029,11,-38.5021400,145.2320300,5.45,19.61,12.19,50.09,155.93,0.02,0.07,0.46,-1.06,0.00,0.00,
1,13385.000,63.659,0.063659,11,-38.5021450,145.2320333,5.44,19.59,12.18,50.09,155.46,-0.01,0.05,0.75,-1.61,0.00,0.00,
1,13385.100,64.234,0.064234,11,-38.5021500,145.2320350,5.46,19.65,12.21,50.09,154.99,0.02,0.05,0.90,-2.17,0.00,0.00,
1,13385.200,64.697,0.064697,11,-38.5021533,145.2320383,5.45,19.63,12.20,50.09,154.44,-0.01,0.05,1.19,-2.54,0.00,0.00,
1,13385.300,65.271,0.065271,11,-38.5021583,145.2320400,5.45,19.63,12.20,50.09,154.25,0.00,0.02,1.33,-3.09,0.00,0.00,
1,13385.400,65.902,0.065902,11,-38.5021633,145.2320433,5.23,18.83,11.70,50.09,154.23,-0.23,0.00,1.62,-3.65,0.00,0.00,
1,13385.500,66.365,0.066365,11,-38.5021667,145.2320467,5.24,18.85,11.71,50.09,154.05,0.01,0.02,1.91,-4.02,0.00,0.00,
1,13385.600,66.939,0.066939,10,-38.5021717,145.2320483,5.27,18.98,11.80,50.09,154.15,0.04,-0.01,2.06,-4.58,0.00,0.00,
1,13385.700,67.421,0.067421,10,-38.5021750,145.2320517,5.26,18.93,11.76,50.09,154.60,-0.02,-0.04,2.35,-4.95,0.00,0.00,
1,13385.800,67.996,0.067996,10,-38.5021800,145.2320533,5.10,18.37,11.42,50.09,155.03,-0.16,-0.04,2.49,-5.50,0.00,0.00,
1,13385.900,68.459,0.068459,11,-38.5021833,145.2320567,5.12,18.45,11.46,50.09,155.20,0.02,-0.02,2.78,-5.87,0.00,0.00,
1,13386.000,69.034,0.069034,11,-38.5021883,145.2320583,5.12,18.43,11.45,50.09,155.78,-0.01,-0.05,2.93,-6.43,0.00,0.00,
1,13386.100,69.497,0.069497,11,-38.5021917,145.2320617,5.08,18.28,11.36,50.09,156.19,-0.04,-0.04,3.22,-6.80,0.00,0.00,
1,13386.200,70.071,0.070071,11,-38.5021967,145.2320633,4.96,17.87,11.11,50.09,156.40,-0.12,-0.02,3.36,-7.36,0.00,0.00,
1,13386.300,70.479,0.070479,11,-38.5022000,145.2320650,4.95,17.82,11.07,50.20,156.62,-0.02,-0.02,3.51,-7.73,0.00,0.00,
1,13386.400,71.109,0.071109,11,-38.5022050,145.2320683,4.93,17.74,11.02,50.20,157.29,-0.02,-0.06,3.80,-8.28,0.00,0.00,
1,13386.500,71.498,0.071498,11,-38.5022083,145.2320700,4.73,17.02,10.58,50.20,157.81,-0.20,-0.04,3.94,-8.65,0.00,0.00,
1,13386.600,72.073,0.072073,11,-38.5022133,145.2320717,4.73,17.04,10.59,50.20,158.18,0.01,-0.03,4.09,-9.21,0.00,0.00,
1,13386.700,72.481,0.072481,11,-38.5022167,145.2320733,4.73,17.04,10.59,50.20,158.69,0.00,-0.04,4.23,-9.58,0.00,0.00,
1,13386.800,72.944,0.072944,11,-38.5022200,145.2320767,4.61,16.59,10.31,50.20,159.02,-0.13,-0.03,4.53,-9.95,0.00,0.00,
1,13386.900,73.518,0.073518,11,-38.5022250,145.2320783,4.60,16.56,10.29,50.20,159.27,-0.01,-0.02,4.67,-10.51,0.00,0.00,
1,13387.100,74.315,0.074315,11,-38.5022317,145.2320817,4.52,16.28,10.12,50.20,159.11,-0.04,0.01,4.96,-11.25,0.00,0.00,
1,13387.200,74.890,0.074890,11,-38.5022367,145.2320833,4.37,15.74,9.78,50.20,158.79,-0.15,0.02,5.11,-11.81,0.00,0.00,
1,13387.300,75.279,0.075279,11,-38.5022400,145.2320850,4.37,15.72,9.77,50.20,158.99,-0.01,-0.02,5.25,-12.18,0.00,0.00,
1,13387.400,75.687,0.075687,11,-38.5022433,145.2320867,4.38,15.76,9.79,50.20,158.81,0.01,0.01,5.40,-12.55,0.00,0.00,
